iter	Passed	Remaining
968	375918	12026
969	376280	11637
970	376644	11248
971	377007	10860
972	377376	10471
973	377744	10083
974	378118	9695
975	378476	9306
976	378837	8918
977	379200	8530
978	379563	8141
979	379934	7753
980	380296	7365
981	380654	6977
982	381025	6589
983	381391	6201
984	381753	5813
985	382119	5425
986	382495	5037
987	382857	4650
988	383220	4262
989	383593	3874
990	383964	3487
991	384332	3099
992	384693	2711
993	385064	2324
994	385431	1936
995	385800	1549
996	386164	1161
997	386531	774
998	386905	387
999	387272	0
